
+++++++++++++++ LOG STARTED +++++++++++++++
acpid ACTIVE 2018-10-10 19:49:28
alsa-utils INACTIVE 2018-10-10 19:49:28
anacron INACTIVE 2018-10-10 19:49:28
apparmor ACTIVE 2018-10-10 19:49:28
apport ACTIVE 2018-10-10 19:49:28
avahi-daemon ACTIVE 2018-10-10 19:49:28
bluetooth ACTIVE 2018-10-10 19:49:28
console-setup.sh INACTIVE 2018-10-10 19:49:28
cron ACTIVE 2018-10-10 19:49:28
cups ACTIVE 2018-10-10 19:49:28
cups-browsed ACTIVE 2018-10-10 19:49:28
dbus ACTIVE 2018-10-10 19:49:28
dns-clean INACTIVE 2018-10-10 19:49:28
gdm3 ACTIVE 2018-10-10 19:49:28
grub-common ACTIVE 2018-10-10 19:49:28
hwclock.sh INACTIVE 2018-10-10 19:49:28
irqbalance ACTIVE 2018-10-10 19:49:28
kerneloops ACTIVE 2018-10-10 19:49:28
keyboard-setup.sh INACTIVE 2018-10-10 19:49:28
kmod ACTIVE 2018-10-10 19:49:28
network-manager ACTIVE 2018-10-10 19:49:28
networking ACTIVE 2018-10-10 19:49:28
plymouth INACTIVE 2018-10-10 19:49:28
plymouth-log INACTIVE 2018-10-10 19:49:28
pppd-dns INACTIVE 2018-10-10 19:49:28
procps ACTIVE 2018-10-10 19:49:28
rsync INACTIVE 2018-10-10 19:49:28
rsyslog ACTIVE 2018-10-10 19:49:28
saned INACTIVE 2018-10-10 19:49:28
speech-dispatcher ACTIVE 2018-10-10 19:49:28
spice-vdagent INACTIVE 2018-10-10 19:49:28
udev ACTIVE 2018-10-10 19:49:28
ufw ACTIVE 2018-10-10 19:49:28
unattended-upgrades ACTIVE 2018-10-10 19:49:28
uuidd INACTIVE 2018-10-10 19:49:28
whoopsie ACTIVE 2018-10-10 19:49:28
x11-common INACTIVE 2018-10-10 19:49:28
+++++++++++++++ LOG ENDED +++++++++++++++

